time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,associatedCMEstartTime,note,associatedCMELink,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2011-04-04T11:01Z,15.0,-110.0,26.0,730.0,C,True,2011-04-04T03:24:00-CME-001,2011-04-04T03:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3095/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3096/-1
2011-04-04T08:33Z,8.0,60.0,22.0,950.0,C,True,2011-04-04T04:09:00-CME-001,2011-04-04T04:09Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3091/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3092/-1
2011-04-07T14:00Z,-5.0,-20.0,38.0,550.0,C,True,2011-04-07T06:12:00-CME-001,2011-04-07T06:12Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3088/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:40Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3089/-1
2011-04-07T15:45Z,-37.0,140.0,39.0,990.0,C,True,2011-04-07T12:20:00-CME-001,2011-04-07T12:20Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/817/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T13:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/818/-1
2011-04-08T05:15Z,-1.0,139.0,33.0,580.0,C,True,2011-04-07T20:24:00-CME-001,2011-04-07T20:24Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3082/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:35Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3083/-1
2011-04-10T17:00Z,50.0,-70.0,20.0,450.0,S,True,2011-04-10T03:12:00-CME-001,2011-04-10T03:12Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3079/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3080/-1
2011-04-12T06:50Z,20.0,60.0,35.0,550.0,C,True,2011-04-11T23:05:00-CME-001,2011-04-11T23:05Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3075/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3076/-1
2011-04-17T14:50Z,37.0,-15.0,45.0,300.0,S,True,2011-04-17T01:25:00-CME-001,2011-04-17T01:25Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3072/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T20:12Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3073/-1
2011-04-17T18:33Z,9.0,155.0,30.0,1355.0,O,True,2011-04-17T15:54:00-CME-001,2011-04-17T15:54Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/820/-1,M2M_CATALOG,null,0,null,null,,,,2013-07-19T13:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/821/-1
2011-04-25T04:55Z,9.0,-131.0,25.0,455.0,S,True,2011-04-24T21:36:00-CME-001,2011-04-24T21:36Z,,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/3059/-1,M2M_CATALOG,null,0,null,null,,,,2013-08-09T19:48Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/3060/-1
